podName,nodeName,imageName,podStartTime,pullingTime,pulledTime,pullImageTotalTime
imagepullns/multi100m200test4b6mp-6b6c94d6b9-456ll,cnnorth1a-pod16-common001-cna069,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:03,2019-01-18 18:30:30,2019-01-18 18:30:30,0
imagepullns/multi100m200testbjmzl-5fd7448897-pz4np,cnnorth1a-pod16-common001-cna066,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:05,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testbjmzl-5fd7448897-vzlbb,cnnorth1a-pod16-common001-cna030,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:05,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testrzcfg-84b684d749-w56bz,cnnorth1a-pod16-common001-cna060,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:07,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200test4b6mp-6b6c94d6b9-5t7rg,cnnorth1a-pod16-common001-cna062,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:03,2019-01-18 18:29:47,2019-01-18 18:29:47,0
imagepullns/multi100m200test4b6mp-6b6c94d6b9-h9nlm,cnnorth1a-pod16-common001-cna066,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:03,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testbjmzl-5fd7448897-c5ndm,cnnorth1a-pod16-common001-cna052,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:05,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testff4tv-c8cddd78f-5q948,cnnorth1a-pod16-common001-cna067,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:10,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testff4tv-c8cddd78f-7m96q,cnnorth1a-pod16-common001-cna059,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:08,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testff4tv-c8cddd78f-fg4ss,cnnorth1a-pod16-common001-cna063,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:10,2019-01-18 18:29:23,2019-01-18 18:29:26,3000
